tenant_id,meter_id,data_time,cr_id,meter_no,collection_time,working_flow,standard_flow,working_num,standard_num,pressure,temperature
9999,130325000005,2015-11-30 02:30:02,13034669,120712535,2015-11-30 02:30:02,,37.0534,,451853.0,103.1133,12.677
9999,130325000005,2015-11-30 03:00:04,13035060,120712535,2015-11-30 03:00:04,,36.9709,,451872.0,103.1348,12.4822
9999,130325000005,2015-11-30 04:00:02,13035787,120712535,2015-11-30 04:00:02,,36.9012,,451908.0,102.9981,12.4751
9999,130325000005,2015-11-30 04:30:04,13036180,120712535,2015-11-30 04:30:04,,37.1077,,451927.0,102.9238,12.0344
9999,130325000005,2015-11-30 05:00:06,13036590,120712535,2015-11-30 05:00:06,,37.0735,,451946.0,102.8496,11.95
9999,130325000005,2015-11-30 05:30:03,13036881,120712535,2015-11-30 05:30:03,,36.9919,,451963.0,102.7266,11.4678
9999,130325000005,2015-11-30 06:00:03,13037325,120712535,2015-11-30 06:00:03,,36.884,,451982.0,102.8945,12.3564
9999,130325000005,2015-11-30 06:30:05,13037749,120712535,2015-11-30 06:30:05,,36.9508,,452001.0,102.95700000000001,12.1968
9999,130325000005,2015-11-30 07:00:03,13038074,120712535,2015-11-30 07:00:03,,37.1073,,452019.0,103.041,12.6682
9999,130325000005,2015-11-30 07:30:04,13038464,120712535,2015-11-30 07:30:04,,37.0156,,452037.0,103.166,12.759
9999,130325000005,2015-11-30 08:00:03,13038813,120712535,2015-11-30 08:00:03,,37.0763,,452045.0,104.6641,14.5085
9999,130325000005,2015-11-30 08:30:04,13039269,120712535,2015-11-30 08:30:04,,0.0,,452045.0,104.7949,16.52
9999,130325000005,2015-11-30 09:00:03,13039626,120712535,2015-11-30 09:00:03,,36.9761,,452057.0,103.3262,14.7336
9999,130325000005,2015-11-30 09:30:03,13039995,120712535,2015-11-30 09:30:03,,37.1608,,452076.0,103.3438,13.0833
9999,130325000005,2015-11-30 10:00:27,13040633,120712535,2015-11-30 10:00:27,,37.1001,,452095.0,103.4063,12.4922
9999,130325000005,2015-11-30 10:30:32,13041118,120712535,2015-11-30 10:30:32,,37.1851,,452113.0,103.45700000000001,11.5554
9999,130325000005,2015-11-30 11:00:07,13041273,120712535,2015-11-30 11:00:07,,37.1417,,452131.0,103.4863,11.4453
9999,130325000005,2015-11-30 15:30:09,13041563,120712535,2015-11-30 15:30:09,,37.271,,452299.0,103.7324,13.4355
