tenant_id,meter_id,data_time,cr_id,meter_no,collection_time,working_flow,standard_flow,working_num,standard_num,pressure,temperature
9999,1.21106E+11,2012/11/6 14:14,55229,121013053,2012/11/6 14:14,,128.04,,61734.008,106.9238,7.0963
9999,1.21106E+11,2012/11/6 14:16,55251,121013053,2012/11/6 14:16,,127.101,,61739.008,107.0215,7.0055
9999,1.21106E+11,2012/11/6 14:18,55271,121013053,2012/11/6 14:18,,127.8859,,61743.008,106.9453,7.0055
9999,1.21106E+11,2012/11/6 14:20,55292,121013053,2012/11/6 14:20,,127.1901,,61748.008,106.9453,7.2753
9999,1.21106E+11,2012/11/6 14:22,55311,121013053,2012/11/6 14:22,,127.1798,,61751.008,106.9453,7.0963
9999,1.21106E+11,2012/11/6 14:24,55337,121013053,2012/11/6 14:24,,127.1798,,61751.008,106.9453,6.8278
9999,1.21106E+11,2012/11/6 14:26,55352,121013053,2012/11/6 14:26,,127.1798,,61751.008,106.9453,7.0963
9999,1.21106E+11,2012/11/6 14:28,55379,121013053,2012/11/6 14:28,,127.1798,,61751.008,106.9453,6.8278
9999,1.21106E+11,2012/11/6 14:30,55402,121013053,2012/11/6 14:30,,127.1798,,61751.008,106.9453,7.0963
9999,1.21106E+11,2012/11/6 14:32,55424,121013053,2012/11/6 14:32,,127.1798,,61751.008,106.9453,6.9182
9999,1.21106E+11,2012/11/6 14:34,55444,121013053,2012/11/6 14:34,,127.1798,,61751.008,106.9668,7.0072
9999,1.21106E+11,2012/11/6 14:36,55469,121013053,2012/11/6 14:36,,127.1798,,61751.008,106.9668,6.7374
9999,1.21106E+11,2012/11/6 14:38,55490,121013053,2012/11/6 14:38,,127.1798,,61751.008,106.8906,7.0963
9999,1.21106E+11,2012/11/6 14:40,55514,121013053,2012/11/6 14:40,,127.1798,,61751.008,106.9453,6.7374
9999,1.21106E+11,2012/11/6 14:42,55540,121013053,2012/11/6 14:42,,127.1798,,61751.008,106.9121,6.9182
9999,1.21106E+11,2012/11/6 14:44,55560,121013053,2012/11/6 14:44,,127.1798,,61751.008,106.8164,6.8278
9999,1.21106E+11,2012/11/6 14:46,55585,121013053,2012/11/6 14:46,,127.1798,,61751.008,106.9668,7.0072
9999,1.21106E+11,2012/11/6 14:48,55613,121013053,2012/11/6 14:48,,127.1798,,61751.008,106.9453,6.8278
9999,1.21106E+11,2012/11/6 14:50,55630,121013053,2012/11/6 14:50,,127.1798,,61751.008,106.9453,7.0963
9999,1.21106E+11,2012/11/6 14:52,55647,121013053,2012/11/6 14:52,,0,,61751.008,106.8906,6.9182
9999,1.21106E+11,2012/11/6 14:54,55676,121013053,2012/11/6 14:54,,0,,61751.008,106.9453,6.9197
9999,1.21106E+11,2012/11/6 14:56,55693,121013053,2012/11/6 14:56,,0,,61751.008,106.9883,6.9182
9999,1.21106E+11,2012/11/6 14:58,55726,121013053,2012/11/6 14:58,,0,,61751.008,106.9883,7.0072
9999,1.21106E+11,2012/11/6 15:00,55734,121013053,2012/11/6 15:00,,0,,61751.008,106.9453,7.0072
9999,1.21106E+11,2012/11/6 15:02,55761,121013053,2012/11/6 15:02,,0,,61751.008,106.8691,7.0072
9999,1.21106E+11,2012/11/6 15:04,55783,121013053,2012/11/6 15:04,,0,,61751.008,106.9668,7.0072
9999,1.21106E+11,2012/11/6 15:06,55815,121013053,2012/11/6 15:06,,0,,61751.008,106.8359,7.0072
9999,1.21106E+11,2012/11/6 15:08,55827,121013053,2012/11/6 15:08,,0,,61751.008,106.9453,7.0072
9999,1.21106E+11,2012/11/6 15:10,55854,121013053,2012/11/6 15:10,,0,,61751.008,106.9883,6.9169
9999,1.21106E+11,2012/11/6 15:12,55873,121013053,2012/11/6 15:12,,0,,61751.008,106.8906,7.0072
9999,1.21106E+11,2012/11/6 15:14,55894,121013053,2012/11/6 15:14,,0,,61751.008,106.8359,6.9182
9999,1.21106E+11,2012/11/6 15:16,55920,121013053,2012/11/6 15:16,,0,,61751.008,106.8359,6.9182
9999,1.21106E+11,2012/11/6 15:18,55940,121013053,2012/11/6 15:18,,0,,61751.008,106.9668,6.9197
9999,1.21106E+11,2012/11/6 15:20,55962,121013053,2012/11/6 15:20,,0,,61751.008,106.8906,7.0963
9999,1.21106E+11,2012/11/6 15:22,55982,121013053,2012/11/6 15:22,,0,,61751.008,106.8359,6.8278
9999,1.21106E+11,2012/11/6 15:24,56005,121013053,2012/11/6 15:24,,0,,61751.008,106.8359,6.9182
9999,1.21106E+11,2012/11/6 15:26,56029,121013053,2012/11/6 15:26,,0,,61751.008,106.9883,7.0072
9999,1.21106E+11,2012/11/6 15:28,56052,121013053,2012/11/6 15:28,,0,,61751.008,106.9668,6.7374
9999,1.21106E+11,2012/11/6 15:30,56076,121013053,2012/11/6 15:30,,0,,61751.008,106.8359,6.9182
9999,1.21106E+11,2012/11/6 15:32,56097,121013053,2012/11/6 15:32,,0,,61751.008,106.8359,6.9182
9999,1.21106E+11,2012/11/6 15:34,56119,121013053,2012/11/6 15:34,,0,,61751.008,107.0625,6.9169
9999,1.21106E+11,2012/11/6 15:36,56145,121013053,2012/11/6 15:36,,0,,61751.008,106.9883,6.9169
9999,1.21106E+11,2012/11/6 15:38,56167,121013053,2012/11/6 15:38,,0,,61751.008,107.041,7.0072
9999,1.21106E+11,2012/11/6 15:40,56186,121013053,2012/11/6 15:40,,0,,61751.008,106.8359,7.1859
9999,1.21106E+11,2012/11/6 15:42,56213,121013053,2012/11/6 15:42,,0,,61751.008,106.8359,7.0963
9999,1.21106E+11,2012/11/6 15:44,56234,121013053,2012/11/6 15:44,,0,,61751.008,106.8164,7.0963
9999,1.21106E+11,2012/11/6 15:46,56263,121013053,2012/11/6 15:46,,0,,61751.008,106.9668,7.0072
9999,1.21106E+11,2012/11/6 15:48,56283,121013053,2012/11/6 15:48,,0,,61751.008,106.9883,7.0072
9999,1.21106E+11,2012/11/6 15:50,56304,121013053,2012/11/6 15:50,,0,,61751.008,106.8359,6.7374
9999,1.21106E+11,2012/11/6 15:52,56320,121013053,2012/11/6 15:52,,0,,61751.008,106.8359,7.0963
9999,1.21106E+11,2012/11/6 15:54,56344,121013053,2012/11/6 15:54,,0,,61751.008,106.8359,6.7374
9999,1.21106E+11,2012/11/6 15:56,56363,121013053,2012/11/6 15:56,,0,,61751.008,106.9883,7.0072
9999,1.21106E+11,2012/11/6 15:58,56385,121013053,2012/11/6 15:58,,0,,61751.008,106.8359,6.9182
9999,1.21106E+11,2012/11/6 16:00,56409,121013053,2012/11/6 16:00,,0,,61751.008,106.8359,7.0963
9999,1.21106E+11,2012/11/6 16:02,56431,121013053,2012/11/6 16:02,,0,,61751.008,106.8359,6.8278
